"Cleanup ID",Zone,State,Country,Latitude,Longitude,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Other plastic/foam packaging","Tobacco packaging/wrap","Cigar tips","Cigarette lighters",Fireworks,"Other tobacco (packaging, lighter, etc.)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
162682,"Flemish Brabant, Belgium","Flanders, Belgium",Belgium,50.982299804688,4.4593920707703,land,,2021-03-23,"Oracle - EMEA",1,,1,2.00,0.00,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163865,"Flemish Brabant, Belgium","Flanders, Belgium",Belgium,50.98225402832,4.4594492912292,land,,2021-04-04,"Oracle - EMEA",1,,1,4.00,0.00,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163867,"Flemish Brabant, Belgium","Flanders, Belgium",Belgium,50.98228,4.45953,land,,2021-04-04,"Oracle - EMEA",2,,2,0.44,0.00,0.00,,,,,,1,,,,17,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,28
164400,"Flemish Brabant, Belgium","Flanders, Belgium",Belgium,50.982318878174,4.4594573974609,land,,2021-04-07,"Oracle - EMEA",2,,2,8.00,0.00,0.00,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164494,"Flemish Brabant, Belgium","Flanders, Belgium",Belgium,50.98216,4.45949,land,,2021-04-08,"Oracle - EMEA",1,,1,2.69,0.05,0.00,,,,,,7,,,,54,,,1,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,3,,,33,119
165932,"Flemish Brabant, Belgium","Flanders, Belgium",Belgium,50.98227,4.45952,land,,2021-04-15,"Oracle - EMEA",1,,1,3.64,0.04,0.00,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,5,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,38
168234,"Antwerp, Belgium","Flanders, Belgium",Belgium,51.13147354126,4.5770707130432,land,,2021-04-28,,1,,1,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168273,"Flemish Brabant, Belgium","Flanders, Belgium",Belgium,50.982284545898,4.4593353271484,land,,2021-04-28,"Oracle - EMEA",2,,2,11.50,0.00,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168411,"Flemish Brabant, Belgium","Flanders, Belgium",Belgium,50.98223,4.45949,land,,2021-04-29,"Oracle - EMEA",1,,1,0.31,0.02,0.00,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,8
265911,"East Flanders, Belgium","Flanders, Belgium",Belgium,51.073501,3.46422,land,,2022-08-02,AceOfBats,1,,1,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
