"Cleanup ID",Zone,State,Country,Latitude,Longitude,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Other plastic/foam packaging","Tobacco packaging/wrap","Cigar tips","Cigarette lighters",Fireworks,"Other tobacco (packaging, lighter, etc.)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
169465,"Lakatamia, Cyprus","Nicosia, Cyprus",Cyprus,35.0990211,33.290864,land,,2021-05-07,"Oracle - EMEA",8,,8,90.00,0.00,0.00,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179000,"Pentakomo, Cyprus","Larnaca, Cyprus",Cyprus,34.71143,33.27047,underwater,,2021-08-19,,1,,1,0.06,0.00,0.00,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7
180672,"Nicosia, Cyprus","Nicosia, Cyprus",Cyprus,35.16096,33.3565,land,,2021-09-02,,1,,1,0.01,0.02,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182256,"Nicosia, Cyprus","Nicosia, Cyprus",Cyprus,35.15791,33.35592,land,,2021-09-11,,4,,4,0.01,0.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182436,"Nicosia, Cyprus","Nicosia, Cyprus",Cyprus,35.15792,33.35587,land,,2021-09-11,,4,,4,1.84,0.12,0.00,,1,,,,,,1,1,55,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,5,,,25,94
189213,"Larnaca, Cyprus","Larnaca, Cyprus",Cyprus,34.88816,33.63699,land,,2021-09-19,"Save Your Hood",5,,5,2.99,0.00,0.00,,,,,5,,,12,12,224,,,2,,,3,,36,3,,,,,,,,,6,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,8,313
189486,"Larnaca, Cyprus","Larnaca, Cyprus",Cyprus,34.9321498,33.615435,land,,2021-09-20,,2,,2,7.50,0.00,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192585,"Nicosia, Cyprus","Nicosia, Cyprus",Cyprus,35.15775,33.35572,land,,2021-09-20,,1,,1,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193715,"Strovolos, Cyprus","Nicosia, Cyprus",Cyprus,35.15758,33.33872,land,,2021-09-27,#potavristou,1,,1,0.01,0.01,0.00,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
194369,"Strovolos, Cyprus","Nicosia, Cyprus",Cyprus,35.15713,33.3387,land,,2021-09-29,#potavristou,1,,1,0.15,0.14,0.00,,1,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
194371,"Strovolos, Cyprus","Nicosia, Cyprus",Cyprus,35.15694,33.33861,land,,2021-09-29,Potavristou,1,,1,4.43,0.21,0.00,,1,,,1,1,,,6,,,,,1,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53
194372,"Strovolos, Cyprus","Nicosia, Cyprus",Cyprus,35.15659,33.33854,land,,2021-09-29,#potavristou,1,,1,1.26,0.30,0.00,,1,,,6,,,,,,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
