"Cleanup ID",Zone,State,Country,Latitude,Longitude,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Other plastic/foam packaging","Tobacco packaging/wrap","Cigar tips","Cigarette lighters",Fireworks,"Other tobacco (packaging, lighter, etc.)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
148705,"Hamburg, Germany","Hamburg, Germany",Germany,53.56219,10.05751,land,,2021-01-01,,1,,1,1.88,0.00,0.00,,,,3,,2,,1,1,5,,,,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,22
148706,"Hamburg, Germany","Hamburg, Germany",Germany,53.562188,10.057399,land,,2021-01-01,,1,,1,2.00,0.00,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148783,"Hamburg, Germany","Hamburg, Germany",Germany,53.55636,10.02759,land,,2021-01-02,,1,,1,0.32,0.00,0.00,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,7
148937,"Hamburg, Germany","Hamburg, Germany",Germany,53.56214,10.05751,land,,2021-01-04,,1,,1,0.02,0.00,0.00,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
149028,"Hamburg, Germany","Hamburg, Germany",Germany,53.56265,10.05823,land,,2021-01-05,,1,,1,0.05,0.03,0.00,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
149472,"Hamburg, Germany","Hamburg, Germany",Germany,53.60962,10.01015,land,,2021-01-08,,1,,1,0.15,0.01,0.00,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
151242,"Hamburg, Germany","Hamburg, Germany",Germany,53.60644,10.0118,land,,2021-01-25,,1,,1,0.90,0.01,0.00,,,,,,,,2,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5
151261,"Hamburg, Germany","Hamburg, Germany",Germany,53.6097,10.01032,land,,2021-01-25,,1,,1,0.02,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2
151295,"Hamburg, Germany","Hamburg, Germany",Germany,53.60962,10.01023,land,,2021-01-26,,1,,1,0.90,0.00,0.00,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
151391,"Hamburg, Germany","Hamburg, Germany",Germany,53.60963,10.01015,land,,2021-01-27,,1,,1,0.25,0.01,0.00,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
