"Cleanup ID",Zone,State,Country,Latitude,Longitude,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Other plastic/foam packaging","Tobacco packaging/wrap","Cigar tips","Cigarette lighters",Fireworks,"Other tobacco (packaging, lighter, etc.)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
148870,"Province of Rimini, Italy","Emilia-Romagna, Italy",Italy,43.91299,12.65257,land,,2021-01-03,,1,,1,0.04,0.04,0.00,,1,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
148980,"Province of Rimini, Italy","Emilia-Romagna, Italy",Italy,43.91834,12.64668,land,,2021-01-04,,1,,1,1.56,0.00,0.00,,3,,1,3,3,,6,2,5,,,,,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,1,,,6,46
148981,"Province of Rimini, Italy","Emilia-Romagna, Italy",Italy,43.91835,12.64647,land,,2021-01-04,3,1,,1,1.56,0.25,0.00,,3,,1,3,3,,6,2,5,,,,,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,1,,,6,46
148982,"Province of Rimini, Italy","Emilia-Romagna, Italy",Italy,43.91835,12.64647,land,,2021-01-04,1,3,,3,1.56,0.20,0.00,,3,,1,3,3,,6,2,5,,,,,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,1,,,6,46
149337,"Province of Rimini, Italy","Emilia-Romagna, Italy",Italy,43.91091,12.64412,land,,2021-01-06,,1,,1,0.05,0.02,0.00,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
149339,"Province of Rimini, Italy","Emilia-Romagna, Italy",Italy,43.90432,12.64235,land,,2021-01-06,,1,,1,1.35,0.00,0.00,,1,,2,,2,,2,5,4,,,,,,6,,3,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,29
149347,"Metropolitan City of Cagliari, Italy","Sardinia, Italy",Italy,39.1700223,9.3787438,land,,2021-01-06,,2,,2,24.50,0.00,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149387,"Province of Rimini, Italy","Emilia-Romagna, Italy",Italy,43.87843,12.7039,land,,2021-01-07,,1,,1,1.29,0.02,0.00,,1,,,4,,2,,2,2,,,4,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,29
149389,"Province of Rimini, Italy","Emilia-Romagna, Italy",Italy,43.90998,12.64532,land,,2021-01-07,,2,,2,2.03,0.57,0.00,,1,,,1,,,2,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26
149404,"Province of Rimini, Italy","Emilia-Romagna, Italy",Italy,43.90207,12.64392,land,,2021-01-07,,1,,1,0.00,0.14,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149463,"Province of Rimini, Italy","Emilia-Romagna, Italy",Italy,43.91403,12.6443,land,,2021-01-02,,1,,1,0.57,0.00,0.00,,,,,3,1,,,,11,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,22
149466,"Province of Rimini, Italy","Emilia-Romagna, Italy",Italy,43.91862,12.65738,land,,2021-01-04,,1,,1,3.48,0.99,0.00,,4,,,7,,5,3,4,20,,,,,2,10,1,4,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,3,,,1,90
149815,"Province of Rimini, Italy","Emilia-Romagna, Italy",Italy,43.9038,12.64659,land,,2021-01-04,1,1,,1,1.94,0.32,0.00,,15,,,,1,,1,1,31,,,,,,1,2,1,2,,,,1,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,68
149831,"Metropolitan City of Cagliari, Italy","Sardinia, Italy",Italy,39.1672816,9.3816261,land,,2021-01-11,,1,,1,7.50,0.00,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149906,"Province of Rimini, Italy","Emilia-Romagna, Italy",Italy,43.91823,12.65848,land,,2021-01-04,,1,,1,3.85,0.00,0.00,,5,,2,10,2,,,3,7,,,3,,,6,,4,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,62
149913,"Province of Rimini, Italy","Emilia-Romagna, Italy",Italy,43.87842,12.70391,land,,2021-01-12,,1,,1,10.66,0.05,0.00,,4,,4,16,,,,,,,,23,6,14,32,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143
149921,"Province of Rimini, Italy","Emilia-Romagna, Italy",Italy,43.8786548,12.7052268,land,,2021-01-12,,1,,1,32.00,0.00,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150282,"Metropolitan City of Cagliari, Italy","Sardinia, Italy",Italy,39.1700223,9.3787438,land,,2021-01-17,,1,,1,2.00,0.00,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150324,"Province of Rimini, Italy","Emilia-Romagna, Italy",Italy,43.9117,12.64371,land,,2021-01-14,,1,,1,2.31,0.02,0.00,,4,,3,3,1,,9,8,5,,,,,,3,1,3,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,,49
150328,"Metropolitan City of Cagliari, Italy","Sardinia, Italy",Italy,39.19486,9.15819,land,,2021-01-18,,1,,1,5.27,0.00,0.00,,,,,,,,3,4,16,,,2,,,2,,3,,,,,,,,,,5,1,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,24,78
150457,"Metropolitan City of Cagliari, Italy","Sardinia, Italy",Italy,39.20049,9.16081,land,,2021-01-19,,1,,1,0.02,0.00,0.00,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
