"Cleanup ID",Zone,State,Country,Latitude,Longitude,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Other plastic/foam packaging","Tobacco packaging/wrap","Cigar tips","Cigarette lighters",Fireworks,"Other tobacco (packaging, lighter, etc.)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
279022,"Panevėžys District Municipality, Lithuania","Panevėžys County, Lithuania",Lithuania,55.693033183066,24.428701818416,land,,2023-04-21,,1,,1,3.74,0.01,0.00,,,1,6,3,4,3,4,3,8,1,,1,,,7,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,5,,,,,,,,,,,,,,48
283371,"Klaipeda City Municipality, Lithuania","Klaipėda County, Lithuania",Lithuania,55.7032948,21.1442794,land,,2023-06-13,devoxe,1,,1,0.14,0.00,0.00,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
283373,"Vilnius City Municipality, Lithuania","Vilnius County, Lithuania",Lithuania,54.71165608,25.29562236,land,,2023-06-13,,1,,1,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283374,"Vilnius City Municipality, Lithuania","Vilnius County, Lithuania",Lithuania,54.71182576,25.27863228,land,,2023-06-13,IevaDominyka,2,,2,1.32,0.00,0.00,,,,1,12,4,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
283375,"Vilnius City Municipality, Lithuania","Vilnius County, Lithuania",Lithuania,54.71165608,25.29562236,land,,2023-06-13,aliosa,1,,1,"1,388.00",0.00,0.00,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283377,"Kėdainiai District Municipality, Lithuania","Kaunas County, Lithuania",Lithuania,55.169438,23.881275,land,,2023-06-13,,1,,1,2.22,0.00,0.00,,1,1,1,1,2,4,1,1,3,,,2,1,1,1,1,1,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
283378,"Kėdainiai District Municipality, Lithuania","Kaunas County, Lithuania",Lithuania,55.169438,23.881275,land,,2023-06-13,,1,,1,9.94,0.00,0.00,,2,,1,,,,1,1,2,1,2,3,,1,1,,,2,1,1,,,,1,1,,,,1,,,1,,,,,,,,,,2,,1,,,,,,,,,,,,,,26
283444,"Vilnius City Municipality, Lithuania","Vilnius County, Lithuania",Lithuania,54.709685140192,25.284159788425,land,,2023-06-14,Draugės,1,,1,307.10,0.00,0.00,,26,25,26,14,25,17,29,35,12,11,11,8,3,4,3,5,3,2,16,17,1,1,1,8,,,2,1,1,9,2,,2,3,1,1,14,7,9,2,13,11,4,6,,,,,,,,,,,,,,391
283447,"Vilnius City Municipality, Lithuania","Vilnius County, Lithuania",Lithuania,54.709685140192,25.284159788425,land,,2023-06-14,Kamile,1,,1,0.00,0.00,0.00,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283742,"Vilnius City Municipality, Lithuania","Vilnius County, Lithuania",Lithuania,54.712218351183,25.277515901988,land,,2023-06-13,"ugnes grupe",1,,1,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283743,"Vilnius City Municipality, Lithuania","Vilnius County, Lithuania",Lithuania,54.71164776,25.27808918,land,,2023-06-13,,1,,1,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
