"Cleanup ID",Zone,State,Country,Latitude,Longitude,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Other plastic/foam packaging","Tobacco packaging/wrap","Cigar tips","Cigarette lighters",Fireworks,"Other tobacco (packaging, lighter, etc.)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
149783,"Peniche, Portugal","Leiria District, Portugal",Portugal,39.366832733154,-9.3115463256836,land,,2021-01-10,,2,,2,30.00,0.00,0.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149911,"Peniche, Portugal","Leiria District, Portugal",Portugal,39.364635467529,-9.316162109375,land,,2021-01-12,,1,,1,15.00,0.00,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149912,"Peniche, Portugal","Leiria District, Portugal",Portugal,39.36464,-9.31616,land,,2021-01-12,,1,,1,0.25,0.00,0.00,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
150595,"Oeiras, Portugal","Lisbon, Portugal",Portugal,38.70286,-9.29687,land,,2021-01-21,,1,,1,2.37,0.00,0.00,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,9
151173,"Cascais, Portugal","Lisbon, Portugal",Portugal,38.684028625488,-9.3297939300537,land,,2021-01-24,"My Photo Print",3,,3,2.00,0.00,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154751,"Vila Nova de Gaia, Portugal","Porto District, Portugal",Portugal,41.12861,-8.64547,land,,2021-02-13,,1,,1,0.10,0.00,0.00,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
155006,"Cascais, Portugal","Lisbon, Portugal",Portugal,38.68608,-9.32961,land,,2021-02-21,,1,,1,0.14,0.01,0.00,,1,,,2,,,,3,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
168831,,,Portugal,38.68064,-9.33912,land,,2021-05-02,,6,,6,19.48,1.14,0.00,,7,,,,,5,,23,93,,,,1,3,28,2,5,68,,,,,,,,,3,,,,,,,,5,,,,,,1,,,,,,,,,,,,,1,,,409,725
169291,"Cascais, Portugal","Lisbon, Portugal",Portugal,38.68024,-9.33623,land,,2021-05-02,,6,,6,0.55,0.02,0.00,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
169483,"Cascais, Portugal","Lisbon, Portugal",Portugal,38.67703,-9.3293,land,,2021-05-07,,4,,4,10.43,0.36,0.00,,1,,1,,1,,9,7,164,,,,,1,2,13,,2,,,,,,,,,3,,,2,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,52,296
170326,"Cascais, Portugal","Lisbon, Portugal",Portugal,38.68749,-9.35944,land,,2021-05-16,,6,,6,11.01,0.36,0.00,,1,,9,,,1,1,12,128,,,,,1,18,,2,1,,,,,,,,,,1,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,124,315
175116,"Oeiras, Portugal","Lisbon, Portugal",Portugal,38.68529,-9.31457,land,,2021-07-03,Matas,1,,1,0.86,0.03,0.00,,,,,,,,2,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,41
175439,"Cascais, Portugal","Lisbon, Portugal",Portugal,38.68097,-9.33926,land,,2021-07-07,,5,,5,6.97,0.32,0.00,,,,,,,,,16,95,,,,,6,17,,2,32,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,113,300
176209,"Portimão, 8500, Portugal","Faro District, Portugal",Portugal,37.1366954,-8.5394273,land,,2021-07-16,,2,,2,0.01,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177944,"Viana do Castelo, Portugal","Viana do Castelo District, Portugal",Portugal,41.77859062822,-8.8710573742431,land,,2021-06-21,"Sailors for the Sea Portugal | Reciclar é a Nossa Praia",4,40,44,50.71,3.11,0.00,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,33,11,,,,,1,,,,72
177952,"Cascais, Portugal","Lisbon, Portugal",Portugal,38.6947317,-9.3597413,land,,2021-08-04,,1,,1,17.00,0.00,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178205,"Cascais, Portugal","Lisbon, Portugal",Portugal,38.69543,-9.34886,land,,2021-08-04,,1,,1,0.01,0.01,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178380,"Loulé, Portugal","Faro District, Portugal",Portugal,37.10859,-8.08673,land,,2021-08-10,,1,,1,0.01,0.01,0.00,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
181043,"Cascais, Portugal","Lisbon, Portugal",Portugal,38.68101,-9.33915,land,,2021-09-04,,6,,6,7.83,0.02,0.00,,2,,,,,4,2,12,99,,,,,,21,,90,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,238,497
181917,"Coimbra, Portugal","Coimbra District, Portugal",Portugal,40.17977,-8.41905,land,,2021-09-10,"Equinix Community Cleanup",1,,1,7.09,0.02,0.00,,3,,3,2,,17,26,,111,,,,,3,7,,5,1,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,5,,,,224
182432,"Cascais, Portugal","Lisbon, Portugal",Portugal,38.68071,-9.33863,land,,2021-09-12,,6,,6,17.73,0.00,0.00,,1,,,2,2,,1,10,250,,,1,,,21,2,17,3,,,,,,,,,,,,,,,,,4,,,,,,1,,,,,,,,,,,,,,,,353,730
183061,"Cascais, Portugal","Lisbon, Portugal",Portugal,38.6851,-9.33627,land,,2021-09-14,"Yihao, João, Pedro Silva",3,,3,1.68,0.02,0.00,,2,,,1,,,,,46,,,,,,6,,,,,,,,,,,,,,,12,,,,,,,,,,,2,,,,,,,,,,,,,4,,,9,88
184444,"Cascais, Portugal","Lisbon, Portugal",Portugal,38.69548,-9.44923,land,,2021-09-18,"Sailors for the Sea Portugal",24,,24,44.08,0.34,0.00,,27,,56,24,16,,7,7,221,,,4,7,12,30,1,3,3,,,,9,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,8,,,41,494
